"CodTempo","Tempo","Recursos materiais","CodEspazo","Espazo","DatoN","DatoT"
1995,"1995","En atencion primaria","12","12 Galicia",427,"427"
1995,"1995","En atencion primaria","15","15 A Coruna",126,"126"
1995,"1995","En atencion primaria","27","27 Lugo",83,"83"
1995,"1995","En atencion primaria","32","32 Ourense",117,"117"
1995,"1995","En atencion primaria","36","36 Pontevedra",101,"101"
1996,"1996","En atencion primaria","12","12 Galicia",515,"515"
1996,"1996","En atencion primaria","15","15 A Coruna",187,"187"
1996,"1996","En atencion primaria","27","27 Lugo",87,"87"
1996,"1996","En atencion primaria","32","32 Ourense",122,"122"
1996,"1996","En atencion primaria","36","36 Pontevedra",119,"119"
1997,"1997","En atencion primaria","12","12 Galicia",512,"512"
1997,"1997","En atencion primaria","15","15 A Coruna",188,"188"
1997,"1997","En atencion primaria","27","27 Lugo",87,"87"
1997,"1997","En atencion primaria","32","32 Ourense",120,"120"
1997,"1997","En atencion primaria","36","36 Pontevedra",117,"117"
1998,"1998","En atencion primaria","12","12 Galicia",508,"508"
1998,"1998","En atencion primaria","15","15 A Coruna",184,"184"
1998,"1998","En atencion primaria","27","27 Lugo",87,"87"
1998,"1998","En atencion primaria","32","32 Ourense",119,"119"
1998,"1998","En atencion primaria","36","36 Pontevedra",118,"118"
1999,"1999","En atencion primaria","12","12 Galicia",503,"503"
1999,"1999","En atencion primaria","15","15 A Coruna",178,"178"
1999,"1999","En atencion primaria","27","27 Lugo",87,"87"
1999,"1999","En atencion primaria","32","32 Ourense",121,"121"
1999,"1999","En atencion primaria","36","36 Pontevedra",117,"117"
2000,"2000","En atencion primaria","12","12 Galicia",505,"505"
2000,"2000","En atencion primaria","15","15 A Coruna",178,"178"
2000,"2000","En atencion primaria","27","27 Lugo",87,"87"
2000,"2000","En atencion primaria","32","32 Ourense",121,"121"
2000,"2000","En atencion primaria","36","36 Pontevedra",119,"119"
2001,"2001","En atencion primaria","12","12 Galicia",500,"500"
2001,"2001","En atencion primaria","15","15 A Coruna",176,"176"
2001,"2001","En atencion primaria","27","27 Lugo",87,"87"
2001,"2001","En atencion primaria","32","32 Ourense",118,"118"
2001,"2001","En atencion primaria","36","36 Pontevedra",119,"119"
2002,"2002","En atencion primaria","12","12 Galicia",502,"502"
2002,"2002","En atencion primaria","15","15 A Coruna",178,"178"
2002,"2002","En atencion primaria","27","27 Lugo",86,"86"
2002,"2002","En atencion primaria","32","32 Ourense",121,"121"
2002,"2002","En atencion primaria","36","36 Pontevedra",117,"117"
2003,"2003","En atencion primaria","12","12 Galicia",493,"493"
2003,"2003","En atencion primaria","15","15 A Coruna",177,"177"
2003,"2003","En atencion primaria","27","27 Lugo",86,"86"
2003,"2003","En atencion primaria","32","32 Ourense",115,"115"
2003,"2003","En atencion primaria","36","36 Pontevedra",115,"115"
2004,"2004","En atencion primaria","12","12 Galicia",493,"493"
2004,"2004","En atencion primaria","15","15 A Coruna",236,"236"
2004,"2004","En atencion primaria","27","27 Lugo",86,"86"
2004,"2004","En atencion primaria","32","32 Ourense",115,"115"
2004,"2004","En atencion primaria","36","36 Pontevedra",116,"116"
2005,"2005","En atencion primaria","12","12 Galicia",487,"487"
2005,"2005","En atencion primaria","15","15 A Coruna",174,"174"
2005,"2005","En atencion primaria","27","27 Lugo",86,"86"
2005,"2005","En atencion primaria","32","32 Ourense",110,"110"
2005,"2005","En atencion primaria","36","36 Pontevedra",117,"117"
2006,"2006","En atencion primaria","12","12 Galicia",508,"508"
2006,"2006","En atencion primaria","15","15 A Coruna",182,"182"
2006,"2006","En atencion primaria","27","27 Lugo",90,"90"
